company,plant_city,state,region,segment,products,milk_intake_lbs_per_day,finished_output,investment_usd,announced,groundbreaking,startup_date,rampup_to_full,status,jobs,notes,source_url
Actus Nutrition,Sparta,WI,Upper Midwest,Whey,Whey protein processing,n/a,Whey protein,n/a,2025-05,n/a,2025,Operational,Operational (acquisition),n/a,"99,000 sq ft acquired from Foremost Farms USA; not greenfield.",https://www.foodnavigator.com/Article/2026/01/16/whey-protein-shortage-drives-major-global-investments/
fairlife (Coca-Cola),Webster,NY,Northeast,Value-added/UF Milk,Ultra-filtered milk; Core Power protein shakes,"~5,000,000",UF milk & protein beverages,$650M,2023-05 (site),2024-04-18,Q4 2025,Ramping,Under construction/opening 2025,~250,fairlife's 3rd US plant; first in Northeast.,https://www.coca-colacompany.com/media-center/coca-cola-builds-fairlife-facility-new-york.html
fairlife (Coca-Cola),Coopersville,MI,Upper Midwest,Value-added/UF Milk,UF milk / protein shakes (2 new lines),n/a,+245000 sq ft production,$650M,2026-03-24,2026,New lines by 2028,By 2028,Announced,~150,Expansion of existing MI site (400+ current staff).,https://www.coca-colacompany.com/media-center/the-coca-cola-company-plans-650-million-investment-to-expand-fairlife-facility-in-michigan
California Dairies Inc. (Valley Natural Beverages),Bakersfield,CA,West,Fluid/ESL Beverage,Aseptic & extended-shelf-life fluid milk,"~1,300,000 at launch; scale to ~5,200,000 (EST.)",Aseptic/ESL beverages,Undisclosed,2023-06 (property),Oct 2023,Test milk Dec 2024; ramping,Phased 3->12 lines,Operational (ramping),n/a,First new CA plant to scale since 2018; Dairy Foods 2025 Plant of the Year. lbs/day are gallon-to-lb estimates.,https://www.dairyfoods.com/articles/98166-california-dairies-opens-state-of-the-art-manufacturing-plant
Walmart,Robinson,TX,Southwest,Fluid Milk,"Fluid milk (whole, 2%, 1%, skim, chocolate)",n/a (undisclosed),Fluid milk; 650+ stores,>$350M,2024-03-07,n/a,2026-04-29 (opened),Operational,Operational,400+,Walmart's 3rd owned/operated milk plant.,https://corporate.walmart.com/news/2024/03/07/walmart-announces-new-milk-processing-facility-in-robinson-texas-opening-in-2026
Walmart,Valdosta,GA,Southeast,Fluid Milk,Fluid milk,n/a (undisclosed),Fluid milk,$350M,n/a,n/a,Dec 2025 (opened),Operational,Operational,n/a,Walmart's 2nd owned milk plant (Fort Wayne IN was 1st).,https://cheesereporter.com/news/2025/12/05/walmart-opens-georgia-milk-processing-plant/
Darigold (Northwest Dairy Assn),Pasco,WA,West/PNW,Butter + Powder (Class IV),Butter + milk powder,"~8,000,000",Up to 175M lbs butter/yr; 280M lbs powder/yr,~$900M,2022,2022-09,First milk June 2025,Ramping (finishing 2025),Operational/ramping,~200,Largest dairy plant in the NW; over budget & delayed from 2024.,https://www.spokesman.com/stories/2025/jun/04/900m-dairy-plant-with-200-jobs-fires-up-in-eastern/
Land O'Lakes,Tulare,CA,West,Dairy Protein/UF Milk,UF milk ingredient (Ph1) -> dairy protein powders,n/a,Dairy protein ingredients,Undisclosed,2026-07-22,n/a,Phase 1 Q1 2027,Two-phase,Announced,n/a,Land O'Lakes entry into dairy proteins; largest plant in its network.,https://www.dairyherd.com/news/land-olakes-tulare-expansion-betting-global-dairy-protein-boom
Agropur,"Weyauwega/Luxemburg/Little Chute",WI,Upper Midwest,Whey/MPC,Whey processing/valorization,n/a,Whey protein ingredients,$70M (part of $130M program),2026-02-17,n/a,n/a,n/a,Announced,n/a,Part of Agropur's $130M Midwest program (with Lake Norden SD).,https://www.freshnfrozen.info/agropur-dairy-investment-dakota-wisconsin/
Chobani,Rome,NY,Northeast,Yogurt (Class II),Yogurt & dairy products,"~12,000,000 (~6B lbs/yr)",>1B lbs finished/yr; up to 28 lines,$1.2B,2025-04-22,2025,Multi-year (toward 2028),Multi-year ramp,Under construction,1000+,Largest natural-food production investment in NY history; Chobani's 3rd US plant.,https://www.prnewswire.com/news-releases/building-for-the-future-chobani-invests-1-2-billion-in-upstate-new-york-to-build-third-us-dairy-processing-plant-302434586.html
Chobani,Twin Falls,ID,West,Yogurt (Class II),Yogurt,n/a,Yogurt,$500M,2025-03,2025-03-19,Undisclosed,Under construction,Under construction,n/a,Expansion of existing Twin Falls plant.,https://www.prnewswire.com/news-releases/building-for-the-future-chobani-invests-1-2-billion-in-upstate-new-york-to-build-third-us-dairy-processing-plant-302434586.html
Daisy Brand,Boone,IA,Midwest,Cottage cheese + Sour cream,Cottage cheese & sour cream,"~3,500,000 (EST. from ~43,000 cows)",Cottage cheese & sour cream,"$626.5M (later ~$676M)",2024-04-19,May 2025,Late 2028/early 2029,Ramp 2029,Under construction,~255,"750,000 sq ft; milk from dedicated Marshall Ridge Farms.",https://governor.iowa.gov/press-release/2024-04-19/daisy-brand-invest-6265-million-iowa-expansion
ByHeart,"Allerton, IA / Portland, OR",IA/OR,Midwest/West,Infant Formula/Nutritionals,Whole-nutrition infant formula,n/a,~Tripling of supply capacity,$95M financing (2024); $395M to date,2024-05-13,n/a,Ramping,Ramping,Operational/ramping,n/a,One of ~5 fully integrated FDA-registered US formula makers.,https://www.prnewswire.com/news-releases/byheart-announces-95m-in-new-financing-on-the-heels-of-rapid-growth-and-the-completion-of-its-end-to-end-manufacturing-furthering-its-commitment-to-transforming-the-infant-formula-industry-302143522.html
Perrigo,Eau Claire,WI,Upper Midwest,Infant Formula/Nutritionals,Infant formula (Good Start),n/a,+7M lbs capacity,~$60M (part of ~$170M),2022-11-01,n/a,n/a,n/a,Operational,n/a,"Plant bought from Nestle. A separate ~$240M formula investment is under strategic review (Nov 2025).",https://www.manufacturingdive.com/news/perrigo-nestles-infant-formula-wisconsin/637249/
Dairy Farmers of America (DFA),Monroe,WI,Upper Midwest,Cheese (Hispanic),"Queso fresco, cotija, etc.",n/a,Hispanic cheese,n/a (acquisition),2025-08,n/a,2025,Operational,Operational (acquisition),~97,Acquisition of W&W Dairy; adds product breadth not new milk intake.,https://cheesereporter.com/news/2025/08/07/dfa-acquires-wisconsin-based-hispanic-cheese-maker-ww-dairy/
